check_cmdata	Src/Zle/compmatch.c:2152
check_colon_subscript	Src/subst.c:1566
check_cond	Src/parse.c:2459
check_cursh_sig	Src/jobs.c:397
check_dotfile	Src/Modules/newuser.c:58
check_dump_file	Src/parse.c:3833
check_fd_table	Src/utils.c:1969
check_param	Src/Zle/compcore.c:1113
check_warn_pm	Src/params.c:3158
checkaddparam	Src/module.c:1026
checkalias	Src/lex.c:1902
checkclobberparam	Src/exec.c:2178
checkcurline	Src/hist.c:2422
checkglobqual	Src/glob.c:1158
checkjobs	Src/builtin.c:5899
checklocktime	Src/hist.c:3147
checkmailpath	Src/utils.c:1623
checkparams	Src/Zle/zle_tricky.c:435
checkptycmd	Src/Modules/zpty.c:530
checkrmall	Src/utils.c:2867
checksched	Src/Builtins/sched.c:93
checksched	Src/Modules/watch.c:650
checksched	Src/Modules/watch.c:675
checkunary	Src/math.c:1548
chmod_dochmod	Src/Modules/files.c:642
chown_dochown	Src/Modules/files.c:682
chown_dolchown	Src/Modules/files.c:695
chrealpath	Src/hist.c:1971
chuck	Src/utils.c:2294
cleanfilelists	Src/jobs.c:1443
cleanup_	Src/Builtins/rlimits.c:913
cleanup_	Src/Builtins/sched.c:426
cleanup_	Src/module.c:338
cleanup_	Src/Modules/attr.c:265
cleanup_	Src/Modules/cap.c:168
cleanup_	Src/Modules/clone.c:152
cleanup_	Src/Modules/curses.c:1775
cleanup_	Src/Modules/datetime.c:299
cleanup_	Src/Modules/db_gdbm.c:643
cleanup_	Src/Modules/example.c:235
cleanup_	Src/Modules/files.c:867
cleanup_	Src/Modules/hlgroup.c:211
cleanup_	Src/Modules/ksh93.c:265
cleanup_	Src/Modules/langinfo.c:501
cleanup_	Src/Modules/mapfile.c:308
cleanup_	Src/Modules/mathfunc.c:577
cleanup_	Src/Modules/nearcolor.c:199
cleanup_	Src/Modules/newuser.c:109
cleanup_	Src/Modules/param_private.c:717
cleanup_	Src/Modules/parameter.c:2348
cleanup_	Src/Modules/pcre.c:571
cleanup_	Src/Modules/random.c:312
cleanup_	Src/Modules/regex.c:258
cleanup_	Src/Modules/socket.c:320
cleanup_	Src/Modules/stat.c:680
cleanup_	Src/Modules/system.c:950
cleanup_	Src/Modules/tcp.c:745
cleanup_	Src/Modules/termcap.c:355
cleanup_	Src/Modules/terminfo.c:349
cleanup_	Src/Modules/watch.c:768
cleanup_	Src/Modules/zftp.c:3219
cleanup_	Src/Modules/zprof.c:367
cleanup_	Src/Modules/zpty.c:928
cleanup_	Src/Modules/zselect.c:318
cleanup_	Src/Modules/zutil.c:2183
cleanup_	Src/Zle/compctl.c:4058
cleanup_	Src/Zle/complete.c:1772
cleanup_	Src/Zle/complist.c:3586
cleanup_	Src/Zle/computil.c:5160
cleanup_	Src/Zle/deltochar.c:129
cleanup_	Src/Zle/zle_main.c:2312
cleanup_	Src/Zle/zleparameter.c:176
cleanup_keymaps	Src/Zle/zle_keymap.c:1236
cleanup_module	Src/module.c:1918
cleanup_module	Src/module.c:1967
clear_hdocs	Src/parse.c:591
clear_mbstate	Src/params.c:4831
clear_shiftstate	Src/pattern.c:327
cleareol	Src/Zle/complist.c:608
clearjobtab	Src/jobs.c:1780
clearoldjobtab	Src/jobs.c:1835
clearpatterndisables	Src/pattern.c:4296
clearscreen	Src/Zle/zle_refresh.c:2366
cline_matched	Src/Zle/compmatch.c:254
cline_setlens	Src/Zle/compmatch.c:240
cline_str	Src/Zle/compresult.c:165
cline_sublen	Src/Zle/compmatch.c:219
clnicezputs	Src/Zle/complist.c:715
clobber_open	Src/exec.c:2221
closeallelse	Src/exec.c:2358
closedumps	Src/parse.c:4008
closedumps	Src/parse.c:4033
closem	Src/exec.c:4546
closemn	Src/exec.c:2273
closemnodes	Src/exec.c:2344
clprintfmt	Src/Zle/complist.c:671
clprintm	Src/Zle/complist.c:1730
cmatchers_same	Src/Zle/compmatch.c:84
cmd_or_math	Src/lex.c:495
cmd_or_math_sub	Src/lex.c:540
cmdpop	Src/prompt.c:1632
cmdpush	Src/prompt.c:1624
cmp_anchors	Src/Zle/compmatch.c:2107
cmphaswilds	Src/Zle/zle_tricky.c:457
cmpparcs	Src/Modules/zprof.c:133
cmpsfuncs	Src/Modules/zprof.c:121
cmptfuncs	Src/Modules/zprof.c:127
collate_seq	Src/Zle/termquery.c:676
colonarrgetfn	Src/params.c:4321
colonarrsetfn	Src/params.c:4329
colonsplit	Src/utils.c:3650
commandnotfound	Src/exec.c:669
comp_check	Src/Zle/complete.c:1651
comp_list	Src/Zle/compresult.c:1468
comp_match	Src/Zle/compmatch.c:1123
comp_mod	Src/Zle/compresult.c:1364
comp_quote	Src/Zle/computil.c:3662
comp_quoting_string	Src/Zle/compcore.c:1435
comp_setunset	Src/Zle/complete.c:1528
comp_str	Src/Zle/compcore.c:1403
comp_wrapper	Src/Zle/complete.c:1556
compctl_name_pat	Src/Zle/compctl.c:1275
compctl_process_cc	Src/Zle/compctl.c:1315
compctlread	Src/Zle/compctl.c:190
compgetmatch	Src/glob.c:2650
completecall	Src/Zle/zle_tricky.c:202
